Id Label Weight
王四搭 王四搭 1
李吉解 李吉解 1
飞也似 飞也似 35
福荫 福荫 5
日晴明 日晴明 2
桂花 桂花 2
玉兔 玉兔 5
莫辞 莫辞 1
银汉 银汉 1
庄内庄 庄内庄 1
云叶 云叶 1
旷野 旷野 11
鸿雁 鸿雁 5
史进正 史进正 1
别作缘 别作缘 1
庄里来 庄里来 1
庄里有 庄里有 4
庄里史 庄里史 1
史进引 史进引 2
牛宰马 牛宰马 24
贺喜 贺喜 10
寻师父 寻师父 2
白范阳 白范阳 8
红缨 红缨 15
项上明 项上明 1
黄缕 黄缕 1
梅红 梅红 2
孤村 孤村 2
严霜 严霜 1
归村 归村 1
罗万 罗万 1
高姓大名 高姓大名 17
王名进 王名进 1
鲁达 鲁达 75
李忠 李忠 68
潘家 潘家 3
李白 李白 4
楚阁儿 楚阁儿 1
红罗 红罗 6
汪汪 汪汪 1
玉雪 玉雪 2
那老儿 那老儿 13
郑大官人 郑大官人 6
小曲儿 小曲儿 1
翠莲 翠莲 2
郑屠 郑屠 18
金老 金老 13
柴米 柴米 3
小二哥 小二哥 30
金公 金公 3
金老引 金老引 1
小二扒 小二扒 1
郑屠道 郑屠道 6
郑屠家 郑屠家 5
却见鲁 却见鲁 1
郑屠笑 郑屠笑 1
郑屠大怒 郑屠大怒 1
金翠莲 金翠莲 1
乌珠 乌珠 1
郑屠挺 郑屠挺 1
郑屠尸 郑屠尸 1
齐眉 齐眉 6
尹升厅 尹升厅 3
明白 明白 25
张挂 张挂 4
孤雁 孤雁 3
代州雁 代州雁 4
张三蠢 张三蠢 1
李四 李四 9
萧何法 萧何法 1
张大哥 张大哥 8
诸佛 诸佛 2
罗汉 罗汉 7
赵员外 赵员外 44
郑屠那 郑屠那 1
路望北 路望北 1
古邻 古邻 1
金钗 金钗 4
乌云 乌云 18
瑞雪 瑞雪 11
舒嫩玉 舒嫩玉 2
绿罗裙 绿罗裙 2
金莲 金莲 10
翠鬓 翠鬓 1
金老便 金老便 1
上楼来 上楼来 20
郎君 郎君 13
庄客来 庄客来 5
相敬之 相敬之 2
万幸 万幸 12
蒙员外 蒙员外 3
赵某 赵某 6
文殊 文殊 2
智真长老 智真长老 24
和尚 和尚 228
清香 清香 2
翠妆成 翠妆成 1
和鲁达 和鲁达 1
